,,Diplomatic,,,,,,,Editorial,,,,,
Task,Model,CER,WER,p-CER,WWER,R-WER-2,R-WER-4,R-WER-8,CER,WER,p-CER,WWER,R-WER-2,R-WER-4,R-WER-8
OCR,Calamari,$16.0 \pm 0.7$,$56.7 \pm 1.8$,$16.4 \pm 1.3$,$55.8 \pm 1.6$,$55.5 \pm 1.9$,$54.0 \pm 1.8$,$53.6 \pm 1.4$,$20.5 \pm 0.8$,$67.9 \pm 1.3$,$29.5 \pm 1.5$,$67.5 \pm 1.4$,$57.5 \pm 1.8$,$56.0 \pm 0.7$,$55.8 \pm 0.5$
OCR,Kraken,$7.2 \pm 0.5$,$30.5 \pm 0.7$,$11.8 \pm 1.1$,$29.8 \pm 1.5$,$27.0 \pm 2.2$,$26.4 \pm 2.0$,$26.5 \pm 1.8$,$11.2 \pm 0.3$,$43.9 \pm 1.0$,$23.4 \pm 0.6$,$43.7 \pm 0.8$,$29.3 \pm 1.6$,$28.3 \pm 1.8$,$28.5 \pm 1.5$
OCR,TrOCR-Large,$8.6 \pm 0.4$,$31.0 \pm 1.1$,$11.2 \pm 0.8$,$29.0 \pm 1.7$,$32.9 \pm 2.2$,$30.6 \pm 1.6$,$29.3 \pm 1.5$,$12.6 \pm 0.5$,$43.3 \pm 1.3$,$23.3 \pm 1.6$,$41.2 \pm 0.8$,$34.0 \pm 0.6$,$31.9 \pm 0.7$,$30.6 \pm 0.7$
OCR,TrOCR-Small,$10.3 \pm 0.6$,$36.0 \pm 1.4$,$12.7 \pm 0.8$,$33.8 \pm 2.4$,$38.6 \pm 1.7$,$35.9 \pm 1.5$,$34.2 \pm 0.9$,$14.5 \pm 0.8$,$47.9 \pm 1.4$,$24.3 \pm 1.4$,$45.8 \pm 1.8$,$41.0 \pm 2.4$,$38.5 \pm 1.6$,$36.7 \pm 1.1$
OMR,Calamari,$33.1 \pm 3.0$,$78.0 \pm 5.2$,$18.5 \pm 1.4$,-,-,-,-,$36.0 \pm 1.7$,$82.5 \pm 2.9$,$20.6 \pm 1.0$,-,-,-,-
OMR,Kraken,$37.1 \pm 3.1$,$81.8 \pm 6.7$,$22.2 \pm 1.4$,-,-,-,-,$38.9 \pm 1.2$,$83.6 \pm 2.3$,$24.2 \pm 1.3$,-,-,-,-
OMR,TrOCR-Large,$8.6 \pm 1.6$,$19.2 \pm 4.3$,$6.2 \pm 0.6$,-,-,-,-,$11.1 \pm 2.5$,$25.2 \pm 5.4$,$7.5 \pm 1.0$,-,-,-,-
OMR,TrOCR-Small,$33.1 \pm 4.7$,$74.4 \pm 7.1$,$17.3 \pm 1.8$,-,-,-,-,$36.3 \pm 1.8$,$78.3 \pm 3.0$,$20.4 \pm 0.6$,-,-,-,-
